,Song,Artist,Year,Genre
0,signal,fear,1991,hip hop
1,road,slippery,2013,hip hop
2,overrated,rate,2012,pop
3,cat,mask,2015,hip hop
4,quiver,strap,2002,pop
5,lowly,chivalrous,2022,folk
6,cagey,towering,2005,rock
7,grip,towering,1992,rock
8,pizzas,pray,1997,rock
9,astonishing,pray,2018,rock
10,romantic,arrogant,2009,pop
11,lamentable,arrogant,2012,pop
12,cup,careless,2009,pop
13,count,meeting,2018,pop
14,thankful,tangible,2011,hip hop
15,full,tangible,2004,hip hop
16,chalk,filthy,2022,pop
17,left,filthy,2011,pop
18,salt,filthy,2019,pop
19,worm,filthy,2013,pop
20,snore,filthy,1997,pop
21,quirky,filthy,2014,pop
22,flame,filthy,2017,pop
23,far,filthy,2022,pop
24,attempt,filthy,2000,pop
25,coat,filthy,2017,pop
26,picture,filthy,2001,pop
27,immense,filthy,1996,pop
28,vase,filthy,2016,pop
29,mellow,filthy,2016,pop
30,sparkling,filthy,2006,pop
31,oafish,filthy,2013,pop
32,pail,filthy,2016,pop
33,recondite,filthy,1988,pop
34,homeless,coal,1990,hip hop
35,fumbling,coal,2008,hip hop
36,women,coal,2017,hip hop
37,branch,cheerful,1994,pop
38,two,cheerful,1989,pop
39,tempt,cheerful,2019,pop
40,redundant,cheerful,1970,pop
41,penitent,cheerful,2011,pop
42,wire,cheerful,2011,pop
43,parched,cheerful,1997,pop
44,rail,cheerful,2006,pop
45,nut,open,2015,pop
46,queen,thick,2021,hip hop
47,carpenter,thick,2002,hip hop
48,dad,thick,1996,hip hop
49,live,thick,2015,hip hop
50,distinct,thick,2017,hip hop
51,improve,thick,1995,hip hop
52,panoramic,thick,2002,hip hop
53,hand,thick,2005,hip hop
54,groan,thick,2004,hip hop
55,toe,thick,2019,hip hop
56,conscious,thick,2014,hip hop
57,obtainable,thick,2010,hip hop
58,wet,thick,2008,hip hop
59,continue,thick,2001,hip hop
60,loose,thick,1985,hip hop
61,bored,thick,2009,hip hop
62,school,thick,2018,hip hop
63,system,thick,2008,hip hop
64,trains,pass,1991,pop
65,hard-to-find,pass,2014,pop
66,blot,pass,1984,pop
67,face,march,2015,pop
68,porter,march,1990,pop
69,milky,march,2018,pop
70,exist,march,2010,pop
71,friends,march,2018,pop
72,stiff,march,2002,pop
73,fast,march,1999,pop
74,rain,march,2008,pop
75,snails,march,2010,pop
76,side,march,2002,pop
77,include,march,2021,pop
78,envious,clumsy,2023,hip hop
79,continue,flimsy,1990,hip hop
80,street,flimsy,2014,hip hop
81,clean,flimsy,2022,hip hop
82,continue,flimsy,2009,hip hop
83,trot,flimsy,2006,hip hop
84,wing,rambunctious,2005,pop
85,curved,rambunctious,2022,pop
86,clever,rambunctious,1997,pop
87,fearful,rambunctious,2009,pop
88,crow,rambunctious,1997,pop
89,pet,van,2000,pop
90,lie,van,1997,pop
91,ubiquitous,van,1983,pop
92,tearful,want,1987,pop
93,like,twig,1993,hip hop
94,invent,twig,2009,hip hop
95,competition,twig,2015,hip hop
96,tasteful,twig,2000,hip hop
97,pop,twig,2004,hip hop
98,craven,soak,1975,pop
99,cheat,mountain,2002,pop
100,little,mountain,2022,pop
101,dream,mountain,1998,pop
102,stain,mountain,2008,pop
103,chubby,mountain,1993,pop
104,ducks,mountain,1978,pop
105,yam,mountain,1991,pop
106,zany,mountain,2001,pop
107,territory,reproduce,2013,pop
108,calm,brave,2011,hip hop
109,soap,brief,1995,pop
110,horn,brief,2023,pop
111,beef,brief,2004,pop
112,smoggy,brief,1980,pop
113,enjoy,brief,2019,pop
114,sheep,unite,2010,pop
115,next,unite,1971,pop
116,arm,unite,2012,pop
117,doubtful,unite,1977,pop
118,draconian,unite,2000,pop
119,sheep,unite,2000,pop
120,historical,unite,2018,pop
121,juicy,unite,2005,pop
122,coherent,unite,2003,pop
123,railway,unite,2018,pop
124,slip,unite,2011,pop
125,grate,lazy,1995,hip hop
126,hollow,lazy,2009,hip hop
127,answer,eye,2016,hip hop
128,ugliest,swift,2016,rock
129,sleet,scared,1983,pop
130,babies,wrench,1997,hip hop
131,include,wrench,2010,hip hop
132,maniacal,wrench,2002,hip hop
133,abusive,wrench,1994,hip hop
134,keen,wrench,2014,hip hop
135,hard-to-find,mate,2006,pop
136,protest,coat,1996,pop
137,coordinated,coat,1972,pop
138,town,loutish,2018,pop
139,paint,meaty,2013,pop
140,wrestle,outrageous,2003,pop
141,kiss,challenge,2013,rock
142,dock,trot,2020,pop
143,elastic,trot,1970,pop
