,Song,Artist,Year,Genre,Length,Count,C_month,C_week,Decade
0,signal,fear,1991,hip hop,1.5902860257560747,17,17,8,90s
1,road,slippery,2013,hip hop,1.8265421707215683,32,10,0,10s
2,overrated,rate,2012,pop,1.0236252186895358,3,3,1,10s
3,cat,mask,2015,hip hop,1.5339969316539066,26,3,1,10s
4,quiver,strap,2002,pop,1.4013369538455884,29,9,1,00s
5,lowly,chivalrous,2022,folk,0.918279908820514,192,96,32,20s
6,cagey,towering,2005,rock,1.1255444629105948,22,11,0,00s
7,grip,towering,1992,rock,1.4081421861321255,10,10,10,90s
8,pizzas,pray,1997,rock,1.608855223299218,27,9,3,90s
9,astonishing,pray,2018,rock,0.9673750637780236,3,0,0,10s
10,romantic,arrogant,2009,pop,0.8754054600690562,21,5,5,00s
11,lamentable,arrogant,2012,pop,1.7219508077467889,28,28,14,10s
12,cup,careless,2009,pop,1.0169675846018624,46,23,11,00s
13,count,meeting,2018,pop,1.5200048921749951,14,14,4,10s
14,thankful,tangible,2011,hip hop,1.5333164801840211,5,5,2,10s
15,full,tangible,2004,hip hop,1.5162716675737082,34,0,0,00s
16,chalk,filthy,2022,pop,1.5625882152520885,9,3,0,20s
17,left,filthy,2011,pop,1.1842449170174034,29,9,4,10s
18,salt,filthy,2019,pop,1.0091253587308116,1,0,0,10s
19,worm,filthy,2013,pop,1.255816046645501,48,16,16,10s
20,snore,filthy,1997,pop,1.2367158994472178,17,5,0,90s
21,quirky,filthy,2014,pop,1.3451113210962986,4,4,1,10s
22,flame,filthy,2017,pop,1.188932502723182,19,2,2,10s
23,far,filthy,2022,pop,1.7420265695813577,9,3,1,20s
24,attempt,filthy,2000,pop,1.3277079344947262,13,1,0,00s
25,coat,filthy,2017,pop,1.7441109264102546,24,12,6,10s
26,picture,filthy,2001,pop,1.3829652922097402,31,15,7,00s
27,immense,filthy,1996,pop,0.9200950286028304,25,3,1,90s
28,vase,filthy,2016,pop,1.317797471001677,32,10,3,10s
29,mellow,filthy,2016,pop,1.222923861259452,15,3,1,10s
30,sparkling,filthy,2006,pop,0.9612371301773516,33,16,8,00s
31,oafish,filthy,2013,pop,1.6135455359838518,21,7,3,10s
32,pail,filthy,2016,pop,1.7129545179256276,19,6,3,10s
33,recondite,filthy,1988,pop,1.192395354388358,3,3,3,80s
34,homeless,coal,1990,hip hop,1.3259799014575755,71,23,11,90s
35,fumbling,coal,2008,hip hop,1.3113993380884263,10,0,0,00s
36,women,coal,2017,hip hop,1.1505123637978778,11,3,1,10s
37,branch,cheerful,1994,pop,1.381425513468717,13,1,1,90s
38,two,cheerful,1989,pop,1.3148142558789044,6,3,1,80s
39,tempt,cheerful,2019,pop,1.6412550035325373,75,75,25,10s
40,redundant,cheerful,1970,pop,1.59740526269414,14,7,7,70s
41,penitent,cheerful,2011,pop,0.9662367481066052,153,76,76,10s
42,wire,cheerful,2011,pop,1.3036490032196004,10,5,1,10s
43,parched,cheerful,1997,pop,1.050809311683275,13,2,0,90s
